region,total_work_region,men,women,germans,foreigners,15_to_25_years,25_to_55_years,55_to_65_years,without_professional_qualification,with_professional_qualification,with_academic_degree,total_home_region
Goslar,2939.6732283464567,3135.2477064220184,2569.5476190476193,2979.9794188861983,2153.625,2248,2943.4464285714284,3250.5,2126.362068965517,2906.731003039514,4545.5,3122.6932114882507
Helmstedt,2799.28640776699,2925.5,2555.3672566371683,2873.816062176166,2029.3732394366198,2282.1666666666665,2817.6052631578946,2974.890243902439,2190.777777777778,2766.9670658682635,4789.388888888889,3795.0652173913045
Northeim,3012.6666666666665,3146.3978328173375,2676.5714285714284,3105.1610169491523,2000.2524752475247,2230.378048780488,3029.7042042042044,3245.9545454545455,2163.4166666666665,3014.8799472295514,4808.5,3133.3869047619046
Peine,3004.1219081272084,3143.024509803922,2698.4166666666665,3124.8794326241136,2092.8076923076924,2198.576923076923,3028.9523809523807,3316.525641025641,2269.648936170213,3062.8152709359606,5180.045454545455,3540.793453724605
Wolfenbüttel,3071.112244897959,3194.367924528302,2840.288732394366,3127.4607843137255,2050.5,2358.8333333333335,3065.6069518716577,3398.7954545454545,2292.8076923076924,3016.4313725490197,4673.869565217391,3678.730769230769
Göttingen,3223.2192205491588,3330.8278688524592,3008.732445520581,3259.268821966342,2536.1164383561645,2333.0757575757575,3225.294600938967,3521.558091286307,2374.3888888888887,3104.9290288153684,4957.812925170068,3316.5680529300566
Region Hannover,3480.9518338488733,3672.9795081967213,3186.1812577065352,3577.356148491879,2397.22131147541,2378.7608695652175,3500.8652834599648,3816.7883845126835,2419.096881959911,3370.7494923121553,5091.534155597723,3461.698531340152
Diepholz,2907.9282147315857,3028.485668789809,2533.305907172996,2993.0105485232066,2078.9274193548385,2281.5526315789475,2947.1666666666665,3098.4477611940297,2298.5263157894738,2963.2076411960134,4626.970588235294,3136.7059158134243
Hameln-Pyrmont,3231.704379562044,3405.0774647887324,2948.8552631578946,3290.529761904762,2308.6632653061224,2382.946808510638,3240.621951219512,3536.738532110092,2241.0555555555557,3166.8615560640733,5278.384615384615,3222.79609929078
Hildesheim,3123.406976744186,3290.003205128205,2760.5,3165.7395209580836,2365.0569620253164,2302.4444444444443,3130.0347003154575,3417.5,2325.847222222222,3051.1375838926174,5197.6875,3249.405109489051
Holzminden,3216.8934426229507,3321.3888888888887,2829.590909090909,3252.3382352941176,2475.5,2486.076923076923,3236.2734806629833,3409.323529411765,2554.810344827586,3202.1666666666665,4981.75,3160.090163934426
Nienburg (Weser),2904.9204322200394,3001.4915014164308,2543.4824561403507,3003.965909090909,1928.909090909091,2273.4591836734694,2927.4005847953217,3108.7236842105262,2220.012195121951,2966.221649484536,4602.285714285715,3052.742888402626
Schaumburg,2954.8572984749453,3085.5165562913908,2609.2264150943397,3024.1899563318775,2285.0238095238096,2243.5232558139537,2969.343843843844,3218.2631578947367,2408.343137254902,2957.2750677506774,4757.021739130435,3249.083984375
Celle,3235.3884381338744,3396.7158808933004,2854.360294117647,3284.5077071290943,2342.049295774648,2314.6666666666665,3290.2402597402597,3418.061983471074,2269.5140845070423,3195.0696721311474,5188,3220.7136752136753
Cuxhaven,2888.052742616034,3047.9930362116993,2493.4936305732485,2968.9149184149182,2145.0945945945946,2301.9423076923076,2907.848901098901,3205.385057471264,2225.9310344827586,2930.473821989529,4622.375,3217.3840579710145
Harburg,2800.434210526316,2877.796819787986,2582.2972350230416,2959.9444444444443,2127.3028846153848,2203.4109589041095,2835.8380503144654,3027.597902097902,2161.0740181268884,2894.8200663349917,4243.263157894737,3526.920838971583
Lüchow-Dannenberg,2808.108695652174,2977.9647887323945,2417.7619047619046,2863.9615384615386,X,2278.8333333333335,2824.5506329113923,3000.5,X,2835.983870967742,4213,2944.55737704918
Lüneburg,2991.469899665552,3094.315789473684,2767.8529411764707,3045.942930153322,2120.621951219512,2200.8424657534247,3028.6666666666665,3208.8333333333335,2211.75,2946.0849889624724,4615.884615384615,3265.529985007496
Osterholz,2814.0384615384614,2944.890243902439,2447.782608695652,2866.970588235294,2165.0833333333335,2229.875,2855.8488372093025,2985.256097560976,2195,2826.061797752809,4421.928571428572,3363.5108991825614
Rotenburg (Wümme),2925.8577106518283,3054.219008264463,2535.2368421052633,2998.877703826955,2055.8125,2258.5,2954.0377358490564,3226.28125,2168.6451612903224,2973.1833976833977,4530.045454545455,3094.35593220339
Heidekreis,2987.492619926199,3133.2151335311573,2626.6627906976746,3061.1879606879606,2214,2232.817073170732,2985.790404040404,3317.1666666666665,2255.2872340425533,3031.686868686869,4516.125,3082.030612244898
Stade,3191.698501872659,3381.7332439678285,2747.675141242938,3275.683486238532,2150.5,2443.3030303030305,3236.2227488151657,3470.3979591836733,2306.269230769231,3214.77752293578,5258.833333333333,3476.918152350081
Uelzen,2841.804347826087,2969.7786069651743,2590.4532710280373,2873.6099656357387,2160.0238095238096,2296.712121212121,2863.995575221239,3034.25,2223.6481481481483,2837.0582191780823,4273.227272727273,2993.891719745223
Verden,2994.664882226981,3133.757575757576,2635.1666666666665,3089.687643020595,2072.5588235294117,2263.6147540983607,3040.5918635170606,3214.6414141414143,2225.5,3034.398305084746,4789.689189189189,3289.8305439330543
"Delmenhorst, Stadt",2887.803664921466,3027.0723270440253,2584.082089552239,2963.4781420765025,2123.2272727272725,2124.3636363636365,2900.5,3185.7272727272725,2180.1875,2965.435064935065,4364.923076923077,2973.2443609022557
"Emden, Stadt",3705.5872093023254,4028.595238095238,2847.6052631578946,3864.571038251366,2433.343137254902,2553.1315789473683,3759.2025316455697,4053.7608695652175,2390.6315789473683,3785.2014925373132,5245.065217391304,3262.9074074074074
"Oldenburg (Oldenburg), Stadt",3236.607038123167,3420.766990291262,2977.4031141868513,3301.293103448276,2107.216417910448,2247.253246753247,3293.7291666666665,3502.804964539007,2055.584745762712,3095.77972027972,4733.15306122449,3212.7400756143666
"Osnabrück, Stadt",3310.9961832061067,3537.675648702595,2909.2903225806454,3391.573738680466,2150.7380952380954,2265.9661016949153,3330.902010050251,3724.580882352941,2071.3333333333335,3252.871048252912,4612.067164179104,3194.549815498155
"Wilhelmshaven, Stadt",3240.536231884058,3427.6067415730336,2843.9466019417478,3288.6009615384614,2403.625,2385.222222222222,3223.2272727272725,3571.2831325301204,2268.2083333333335,3223.1394849785406,4775.5,2950.5
Ammerland,2890.906976744186,3006.2109557109557,2541.9728682170544,2944.768953068592,2213.462962962963,2275.5,2930.3863636363635,3084.029411764706,2346.1140350877195,2922.4365426695845,4449.574074074074,3051.9314928425356
Aurich,2875.123493975904,3037.4877049180327,2439.225490196078,2934.439393939394,2043.9579439252336,2195.7631578947367,2941.8207547169814,3089.470588235294,2152.254385964912,2866.777985074627,4310.954545454545,3057.5200573065904
Cloppenburg,2697.9971558589305,2860.6377952755906,2138.927561837456,2882.8982737361284,1983.6267217630855,2177.804964539007,2741.7118780096307,2920.7614379084966,2128.243902439024,2875.063953488372,4333.138888888889,2765.058665231432
Emsland,3075.383333333333,3233.083041958042,2458.9880636604776,3197.9710982658958,2162.3852459016393,2335.6063829787236,3121.274315391879,3370.6576576576576,2258.1388888888887,3117.9675324675327,4861.455056179775,3031.203175631886
Friesland,2989.310483870968,3200.085635359116,2459.6954022988507,3027.890438247012,2102.6739130434785,2282.1666666666665,2986.9583333333335,3330.7083333333335,2213.8333333333335,3010.9265402843603,4712.45652173913,3155.2014925373132
Grafschaft Bentheim,2922.818181818182,3085.729759299781,2357.087837837838,3037.8462214411247,2098.508849557522,2235.77397260274,2958.2351485148515,3219.4473684210525,2114.7156862745096,2996.988469601677,4609.759259259259,3013.838658146965
Leer,2830.6398026315787,2948.819892473118,2487.7340425531916,2892.217171717172,2030.3507462686566,2175.7551020408164,2864.9520547945203,3144.25,2131.103448275862,2842.234693877551,4584.120689655172,3007.2482517482517
Oldenburg,2788.6714876033056,2894.496960486322,2410.3360655737706,2890.6178010471203,2048.7954545454545,2269.7708333333335,2814.785714285714,2974.8333333333335,2158.8333333333335,2875.274774774775,4360.727272727273,3052.2681728880157
Osnabrück,2873.2179135209335,3046.8394342762062,2373.765306122449,3043.814567206193,1948.2717391304348,2215.732558139535,2916.021855486173,3103.7374100719426,2231.577981651376,3023.487804878049,4533.357142857143,3082.373441396509
Vechta,2900.2890295358648,3070.62012012012,2292.710144927536,3083.602766798419,1995.8296703296703,2283.0925925925926,2951.2751937984494,3126.9285714285716,2301.6363636363635,3031.0895865237367,4476.04347826087,2963.7971506105832
Wesermarsch,3518.8673469387754,3754.2337662337663,2801.5135135135133,3638.2314814814813,2180.7631578947367,2661.8207547169814,3540.5552486187844,3986.0263157894738,2636.3870967741937,3571.770718232044,5622.090909090909,3410.3920863309354
Wittmund,2748.8146067415732,2943.5451127819547,2269.377551020408,2793.61377245509,X,2191.8793103448274,2771.231707317073,2978.972222222222,2136.75,2805.060810810811,4311.611111111111,2888.663716814159
"Bremen, Stadt",3522.413716814159,3798.1377952755906,3112.4513641755634,3634.7284623773176,2376.806620209059,2330.074468085106,3531.8280363223607,4000.3,2278.018656716418,3427.7360457296572,5109.428571428572,3271.1029411764707
"Bremerhaven, Stadt",3272.336007130125,3458.3985507246375,2862.254966887417,3364.313025210084,2259.0526315789475,2186.660714285714,3289.1255924170614,3573.657894736842,2243.6159420289855,3296.75,4900.083333333333,2927.5502645502647
"Düsseldorf, Stadt",3967.373990306947,4363.4021667761,3539.8917345750874,4093.999095840868,2983.0688073394494,2408.21484375,3995.2094188376755,4404.666666666667,2655.433110367893,3707.4784892446223,5362.798387096775,3875.712121212121
"Duisburg, Stadt",3526.9174541411894,3646.8437268002967,3234.7359767891685,3631.630622304375,2632.463470319635,2421.189655172414,3487.8251748251746,3952.5833333333335,2793.650684931507,3518.9094256259204,5527.732142857143,3317.537366548043
"Essen, Stadt",3560.563224446786,3773.2115716753024,3299.126653102747,3636.4400769653657,2686.0882352941176,2416.5,3556.903079076277,3986.3064516129034,2417.0364583333335,3377.6837349397592,5620.00354609929,3480.896600566572
"Krefeld, Stadt",3494.6381495564005,3728.9044715447153,3067.3,3678.7029950083192,2229.4655172413795,2220.6612903225805,3456.141025641026,4075.5,2475.2311827956987,3554.5665434380776,5406.402777777777,3310.864145658263
"Mönchengladbach, Stadt",3147.8076923076924,3273.175367047308,2920.8551912568305,3270.8345070422533,2174.750936329588,2108.277777777778,3158.5281690140846,3560.0092024539877,2158.909090909091,3209.287661406026,4912.418604651163,3144.563545150502
"Mülheim an der Ruhr, Stadt",3605.6841085271317,3757.1071428571427,3267.746835443038,3679.5786948176583,2931.321917808219,2500.5,3629.9757033248084,3840.0833333333335,2760.5,3458.678191489362,5819.14406779661,3605.9956896551726
"Oberhausen, Stadt",3327.627659574468,3464.017060367454,3034.3516746411483,3407.8988970588234,2703.4850746268658,2403.7608695652175,3302.7105263157896,3751.5593220338983,2559.6346153846152,3323.2637614678897,5320.311320754717,3348.3658536585367
"Remscheid, Stadt",3458.886752136752,3616.531073446328,3053.553435114504,3546.9114832535884,2920.5,2409.4285714285716,3463.284090909091,3730.282608695652,2577.4736842105262,3448.5283911671922,5674.71875,3356.2349665924276
"Solingen, Klingenstadt",3172.461325966851,3328.0806451612902,2873.0757575757575,3305.908653846154,2487.431818181818,2102.7727272727275,3203.0675675675675,3424.373873873874,2474.659663865546,3267.7922252010726,5017.166666666667,3271.3733974358975
"Wuppertal, Stadt",3466.816025067144,3631.836405529954,3219.7813765182186,3574.2804878048782,2679.0714285714284,2349.2654320987654,3455.1052631578946,3868.484693877551,2636.090277777778,3476.946540880503,5307.974226804124,3332.881507381507
Kleve,2957.3847209515097,3086.1233243967827,2597.5588235294117,3075.3712667353243,2171.3969465648856,2272.5238095238096,2971.6077844311376,3312.005681818182,2253.8216783216785,3053.1269185360093,4589.041666666667,3133.7481412639404
Mettmann,3549.264906303237,3720.4309749784297,3211.3644859813085,3661.3779971791255,2784.0341365461845,2377.830508474576,3555.8794992175276,3862.161807580175,2690.1860986547085,3476.7772351615326,5667.817708333333,3575.82637075718
Rhein-Kreis Neuss,3529.0776235906333,3751.217852684145,3129.365336658354,3654.939024390244,2584.955958549223,2324.0416666666665,3524.22304199773,3977.8972602739727,2656.074324324324,3503.5830280830282,5629.964285714285,3669.1333084391335
Viersen,3015.9158215010143,3116.616005873715,2764.060885608856,3122.9147727272725,2239.4802631578946,2181.85593220339,3031.7073669849933,3329.964285714286,2264.6935483870966,3090.6706231454004,4629.666666666667,3373.2687626774846
Wesel,3133.566914498141,3291.087885985748,2811.0532786885246,3235.929447852761,2296.5,2281.5714285714284,3127.5216962524655,3540.391304347826,2352.6739130434785,3192.618226600985,5062.568965517241,3452.3375540457073
"Bonn, Stadt",3986.3014646053703,4335.672413793103,3638.090711175617,4065.0324347093515,3156.6475409836066,2630.682926829268,4040.777777777778,4282.256756756757,2875.923728813559,3531.65763546798,5200.432795698925,3807.9769433465085
"Köln, Stadt",3769.6772151898736,4036.823155216285,3434.6383812010445,3915.4274310595065,2790.5153609831027,2406.536931818182,3780.26224577485,4310.8105095541405,2736.719262295082,3580.7178318135766,5193.77027027027,3666.3085861846353
"Leverkusen, Stadt",4300.578369905956,4632.68085106383,3708.0242718446602,4479.2,3063.8720930232557,2467.6875,4278.3138528138525,5019.635802469136,2730.9545454545455,4041.2442748091603,> 6.500,3619.2741312741314
Städteregion Aachen,3458.7436793975257,3678.1279069767443,3112.501594896332,3529.7133176193283,2812.639423076923,2392.6130952380954,3485.433426769446,3784.8373493975905,2529.960580912863,3289.3506163886873,4897.674657534247,3445.129938786867
Düren,3318.2461139896373,3453.150897226754,2983.2464788732395,3384.4793281653747,2561.3024691358023,2398.6060606060605,3322.4251336898396,3646.676470588235,2556.11797752809,3313.185337726524,5313.367647058823,3371.058739255014
Rhein-Erft-Kreis,3250.2269890795633,3427.2419354838707,2898.8256351039263,3393.363436123348,2398.7974910394264,2270.5,3250.3163693599163,3679.7194092827003,2468.325112107623,3320.402634593356,4986.665048543689,3553.7999308914996
Euskirchen,3151.4661835748793,3310.804449648712,2814.5625,3213.327715355805,2396.3333333333335,2428.8333333333335,3172.8799126637555,3404.785714285714,2578.5864197530864,3195.983193277311,4706.910256410257,3314.4035667107
Heinsberg,3003.6045751633987,3131.8366336633662,2682.9074074074074,3087.8348017621147,2407.5454545454545,2339.0714285714284,3017.1811846689898,3358.529197080292,2322.198113207547,3082.2590987868284,4724.5,3202.4294377067254
Oberbergischer Kreis,3422.756097560976,3618.3617992177315,2897.2241379310344,3477.336832061069,2728.4850746268658,2525.3333333333335,3476.257575757576,3649.3805970149256,2582.5736434108526,3360.132768361582,4829.392215568862,3352.8931623931626
Rheinisch-Bergischer Kreis,3293.3214285714284,3442.7297297297296,3020.0247933884298,3348.6551204819275,2732.318181818182,2400.152777777778,3324.3596491228072,3551.506711409396,2638,3217.2279411764707,4979.98717948718,3703.2883396704688
Rhein-Sieg-Kreis,3167.5911949685533,3309.6624365482235,2865.091836734694,3264.5243902439024,2374.418269230769,2313.3125,3187.4107744107746,3484.6442953020132,2427.3939393939395,3165.0713107996703,4859.041666666667,3494.656908665105
"Bottrop, Stadt",3188.284090909091,3320.338056680162,2890.0833333333335,3250.2340425531916,2718.7926829268295,2336.75,3190.7884615384614,3540.5,2810.1153846153848,3251.6363636363635,4798.119047619048,3427.4181585677748
"Gelsenkirchen, Stadt",3286.984771573604,3405.451690821256,3099.4539748953976,3373.697852760736,2535.794117647059,2306.8829787234044,3269.026405451448,3707.0705128205127,2322.2741935483873,3326.0102040816328,5097.659090909091,3146.9113389626054
"Münster, Stadt",3530.891506303915,3741.538961038961,3283.8870967741937,3621.6465451784356,2263.587248322148,2540.6162790697676,3526.6333914559723,4039.3513513513512,2300.6937984496126,3407.4693094629156,5025.23309608541,3549.421971252567
Borken,3178.5609492988133,3339.0198555956677,2601.279376498801,3229.8520578420466,2422.2261904761904,2522.3614718614717,3228.279745042493,3423.897435897436,2451.4803921568628,3200.307938540333,4826.851351351352,3244.4584472389283
Coesfeld,3084.1479902557858,3226.6617100371745,2671.9285714285716,3167.585597826087,2041.968253968254,2392.1666666666665,3115.2727272727275,3396.1018518518517,2316.0797101449275,3143.294376098418,4583.343137254902,3364.705882352941
Recklinghausen,3186.8829093281147,3310.261663286004,2944.541450777202,3303.2580071174375,2283.0991189427314,2288.595238095238,3152.5590868397494,3679.9425087108016,2405.296511627907,3235.5869925434963,5149.574074074074,3353.700934579439
Steinfurt,3050.816646562123,3202.352574102964,2615.5224215246635,3139.0281385281387,2176.340336134454,2362.6173469387754,3084.40549273021,3314.785714285714,2292.3141592920356,3094.0855263157896,4718.420353982301,3156.446791862285
Warendorf,3297.0776699029125,3437.3286445012786,2875.159090909091,3368.6841563786006,2359.7105263157896,2519.887755102041,3314.1944818304173,3547.334061135371,2308.1530612244896,3311.7986270022884,5250.009803921569,3286.053772070626
"Bielefeld, Stadt",3388.6589618815897,3555.782152230971,3077.6348314606744,3498.9130255564714,2303.0862068965516,2251.12893081761,3403.811965811966,3760.5,2354.109625668449,3333.293209876543,4881.5283687943265,3339.3630009319663
Gütersloh,3231.331503841932,3385.7691218130312,2744.988536155203,3446.9500601684717,1976.8181019332162,2281.2038834951454,3272.6195652173915,3527.1666666666665,2250.1323529411766,3353.103448275862,5260.780373831775,3206.705673758865
Herford,3131.4568480300186,3265.7302631578946,2793.794701986755,3203.438144329897,2337.1279069767443,2358.5882352941176,3155.392037786775,3329.453488372093,2412.237089201878,3166.7805662805663,4740.579365079365,3177.9547187797903
Höxter,2989.6762452107278,3100.6724137931033,2545.03642384106,3012.0107913669067,2403.5,2382.6428571428573,3007.4411764705883,3186.3796296296296,2378.801886792453,2995.277777777778,4580.045454545455,3123.5859375
Lippe,3290.9311039484287,3411.1456776947707,3010.2150259067357,3340.390829694323,2472.4135802469136,2459.75,3316.5592255125284,3475.7830188679245,2520.4579831932774,3291.049102428722,5177.166666666667,3278.5662020905925
Minden-Lübbecke,3210.566371681416,3344.5298507462685,2867.309116809117,3261.368754660701,2281.1521739130435,2355.8571428571427,3242.326437941473,3401.3964143426297,2395.7127659574467,3182.7286263208453,5184.005154639175,3159.0585585585586
Paderborn,3170.1534234995775,3301.3896797153025,2797.425566343042,3231.1306306306305,2381.172268907563,2383.7758620689656,3222.1334894613583,3374.2028301886794,2384.1309523809523,3106.4811122770197,4861.181818181818,3232.552896725441
"Bochum, Stadt",3355.158385093168,3488.992597577389,3142.735294117647,3423.7012750455374,2514.939655172414,2287.8931623931626,3343.781938325991,3724.3869863013697,2495.7272727272725,3284.4228295819935,4807.302721088436,3469.390224358974
"Dortmund, Stadt",3395.927526291724,3547.6308186195824,3167.488778054863,3510.453703703704,2364.011029411765,2210.5785340314137,3406.554036024016,3852.7943037974683,2250.8588516746413,3340.163608562691,5046.7962962962965,3310.729566094854
"Hagen, Stadt der FernUniversi.",3350.024158125915,3515.5210084033615,3009.927966101695,3431.9945226917057,2623.8766233766232,2245.3275862068967,3336.9688128772636,3751.6075949367087,2450.8164556962024,3374.9377162629758,4943.424528301887,3270.6785714285716
"Hamm, Stadt",3099.334196891192,3218.3670360110805,2814.0752688172042,3203.162721893491,2369.029411764706,2223.2272727272725,3089.376146788991,3547.7727272727275,2363.176056338028,3143.7645631067962,4963.78125,3115.0253682487723
"Herne, Stadt",3319.469298245614,3422.330985915493,3111.328025477707,3415.3399014778324,2573.1923076923076,2362.21875,3277.378612716763,3789.6975308641977,2631.269230769231,3339.015406162465,5253.625,3181.222891566265
Ennepe-Ruhr-Kreis,3352.7361359570664,3500.7890173410406,3006.3309037900876,3415.65231092437,2805.2131147540986,2399.8333333333335,3344.550480769231,3633.9008097165993,2725.6953125,3333.4113924050635,5093.833333333333,3488.940170940171
Hochsauerlandkreis,3278.3598484848485,3422.2497556207236,2764.2622149837134,3321.0683624801272,2609.9086021505377,2530.4632352941176,3304.59715407262,3514.367924528302,2656.1306306306305,3283.816582914573,4886.958333333333,3286.792834890966
Märkischer Kreis,3410.426262053318,3624.749797242498,2862.0550755939526,3478.543753963221,2900.1323529411766,2504.191275167785,3435.0686274509803,3643.8802816901407,2708.5479452054797,3459.301498127341,5410.8515625,3369.6961852861036
Olpe,3400.4690976514216,3608.4,2806.5185185185187,3473.7954545454545,2706.4859154929577,2696.4302325581393,3454.960966542751,3586.2421875,2821.231707317073,3458.925414364641,5184.666666666667,3497.131205673759
Siegen-Wittgenstein,3508.485584218513,3725.0385450597178,2936.939393939394,3565.0446880269815,2757.471153846154,2657.230769230769,3535.7729145211124,3782.9909747292418,2764.346153846154,3496.9055299539173,5177.56611570248,3483.5294802172225
Soest,3263.467289719626,3452.423076923077,2754.030534351145,3319.3963963963965,2523.8644859813085,2316.125,3297.212158808933,3494.3025210084033,2459.2719298245615,3212.6015348288074,5452.642857142857,3293.189929328622
Unna,3039.035800482703,3180.4132947976877,2750.3295454545455,3163.1495726495727,2299.962365591398,2218.1470588235293,3041.464172813488,3467.616182572614,2286.6111111111113,3114.278409090909,4738,3282.373167155425
"Darmstadt, Wissenschaftsstadt",4308.544982698962,4665.932960893855,3737.0683229813662,4416.888400702987,3411.9583333333335,2716.316326530612,4355.582135523614,4770.738095238095,2648.4508196721313,3826.105326876513,5729.09375,3983.7758620689656
"Frankfurt am Main, Stadt",4306.979198767334,4683.961101646792,3812.4753086419755,4640.7099236641225,2947.3129571577847,2514.485507246377,4343.616740088106,4841.523166023166,2760.4794238683126,3914.1374133949193,5774.719359875097,3970.214144898965
"Offenbach am Main, Stadt",3564.099348534202,3768.012077294686,3327.8255813953488,3924.5853658536585,2395.7830188679245,2308.8333333333335,3538.3006872852234,4180.37012987013,2193.5232558139537,3564.6705069124423,5347.375,3045.6698513800425
"Wiesbaden, Landeshauptstadt",3855.30464625132,4093.478003384095,3561.5745614035086,4034.7175777063235,2730.7395209580836,2486.0392156862745,3843.788590604027,4395.1100917431195,2545.4612403100773,3649.0997267759562,5144.119791666667,3639.747669773635
Bergstraße,3127.1304347826085,3281.6331775700933,2804.1324786324785,3337.804347826087,2323.8333333333335,2268.3571428571427,3153.134011090573,3467.936974789916,2321,3141.0697445972496,5031.243243243243,3584.426302414231
Darmstadt-Dieburg,3211.930575035063,3335.7697095435683,2956.4288537549405,3397.400826446281,2439.5,2284.2078651685392,3248.013812154696,3508.639534883721,2477.030612244898,3205.9158607350096,5048.648148148148,3627.2020089285716
Groß-Gerau,3683.1005961251863,3902.83843537415,3222.3106995884773,4031.7246278755074,2507.526627218935,2309.9086021505377,3666.4584980237155,4237.350649350649,2513.281954887218,3652.0495867768595,6220.528409090909,3532.2375886524824
Hochtaunuskreis,4125.223101265823,4443.590062111802,3692.793906810036,4309.291208791209,3125.5,2436.174157303371,4196.763157894737,4572.615384615385,2521.823529411765,3623.084541062802,5758.797872340426,4173.610151187905
Main-Kinzig-Kreis,3229.003937007874,3346.9901477832514,2962.2052023121387,3394.9949954504095,2458.198675496689,2454.191275167785,3254.530501089325,3535.9508196721313,2387.4444444444443,3246.7662337662337,5544.686046511628,3454.6271347248576
Main-Taunus-Kreis,4178.2183600713015,4447.588607594937,3794.2062937062938,4440.892561983471,3029.006097560976,2372.1417910447763,4250.166666666667,4690.425373134329,2654.994382022472,3607.0476190476193,5790.580971659919,4223.490654205608
Odenwaldkreis,3044.688191881919,3233.9821428571427,2520.7702702702704,3170.1682464454975,2410.3360655737706,2260.5,3068.0414364640883,3452.8809523809523,2551.3064516129034,3103.893665158371,4783.833333333333,3241.243440233236
Offenbach,3601.572080291971,3781.1015037593984,3281.7165775401068,3870.6063829787236,2583.385304659498,2422.1666666666665,3632.2583732057415,3928.7738095238096,2563.9328358208954,3497.689349112426,5481.975903614458,3570.139598540146
Rheingau-Taunus-Kreis,3236.4080188679245,3347.2131474103585,3043.625,3398.5377906976746,2403.9210526315787,2358,3245.3248407643314,3622.1101694915255,2355.688679245283,3200.5,4778.086206896552,3732.457773512476
Wetteraukreis,3237.09375,3372.6206581352835,2937.210037174721,3354.0664335664337,2405.844827586207,2312.2283950617284,3248.294117647059,3557.2484662576685,2408.668316831683,3207.212962962963,4945.7054794520545,3538.2906976744184
Gießen,3333.571862348178,3466.872053872054,3097.5833333333335,3416.3895705521472,2383.756880733945,2493.7065217391305,3342.5788770053477,3646.823529411765,2494.712962962963,3277.532520325203,4811.28431372549,3398.820693391116
Lahn-Dill-Kreis,3405.9060913705584,3594.875,2911.2894736842104,3479.0714285714284,2519.029411764706,2523.3395061728397,3447.5246238030095,3648.8918128654973,2598.1190476190477,3391.3312182741115,5229.216216216216,3405.6941747572814
Limburg-Weilburg,3056.737322515213,3179.7091836734694,2770.1428571428573,3173.8870967741937,2201.095238095238,2259.195652173913,3101.466850828729,3373.4166666666665,2212.242424242424,3064.147642679901,4885.368421052632,3373.445804195804
Marburg-Biedenkopf,3440.685601799775,3612.940570522979,2962.8540856031127,3503.293453724605,2716.7087912087914,2669.902985074627,3486.4439124487003,3631.8333333333335,2759.1693548387098,3426.1130790190737,5048.3125,3496.8011542497375
Vogelsbergkreis,3042.2771883289124,3165.7217741935483,2655.663043478261,3095.0723684210525,2275.5,2370.5,3077.380530973451,3240.3026315789475,2379.964285714286,3050.2619047619046,4379.847826086957,3152.1978922716626
"Kassel, documenta-Stadt",3499.781466798811,3709.6695501730105,3174.08934169279,3577.268292682927,2324.742424242424,2424.029411764706,3513.5665722379604,3852.0822784810125,2234.25,3406.1742323097465,5121.804347826087,3348.11690647482
Fulda,3046.0648720211825,3172.4182389937105,2677.9,3123.1295210166177,2246.421985815603,2366.9583333333335,3103.0344180225284,3234.25,2286.546511627907,3007.5971184631803,4411.343373493976,3152.3853305785124
Hersfeld-Rotenburg,2958.851409978308,3141.3088235294117,2553.7552083333335,3122.316037735849,2102.9886877828053,2261.409090909091,2980.814371257485,3211.644578313253,2156.867924528302,3105.7292263610316,4831.181818181818,3080.239336492891
Kassel,3555.635440180587,3858.9375,2813.2551020408164,3669.298449612403,2391.525641025641,2633.0471698113206,3649.184210526316,3627.814814814815,2299.6666666666665,3615.810650887574,5405.857142857143,3484.912832929782
Schwalm-Eder-Kreis,3098.1111111111113,3210.604529616725,2884.3541666666665,3187.4871794871797,2207.467213114754,2472.7727272727275,3154.9117647058824,3262.0384615384614,2283.0396825396824,3117.4402985074626,4729.071428571428,3336.78640776699
Waldeck-Frankenberg,3179.600529100529,3397.3354430379745,2622.021739130435,3242.9740484429067,2232.318181818182,2480.3387096774195,3220.8855140186915,3379.1624203821657,2590.0833333333335,3169.127450980392,5002.527027027027,3241.534226190476
Werra-Meißner-Kreis,2913.0486381322958,3035.4489795918366,2547.756097560976,2947.7782258064517,2225.5,2297.722222222222,2930.71978021978,3148.372340425532,2080.2619047619046,2923.6991525423728,4237.45652173913,3047.7305389221556
"Koblenz, kreisfreie Stadt",3463.3040973111397,3691.637566137566,3145.1043165467627,3530.7842565597666,2377.2241379310344,2328.6746031746034,3486.59576427256,3820.311320754717,2296.035714285714,3361.0337078651687,5017.623287671233,3265.7088772845955
Ahrweiler,3018.6360201511334,3136.0454545454545,2719.077981651376,3095.486263736264,2331.1451612903224,2320.2368421052633,3045.4640287769785,3294.1567164179105,2331.0555555555557,3013.3105590062114,4390.272727272727,3242.6641791044776
Altenkirchen (Westerwald),3143.3776290630976,3270.9615384615386,2730.628205128205,3186.7101313320827,2551.9423076923076,2497.669811320755,3189.477832512315,3307.871794871795,2544.7028985507245,3162.1145833333335,4841.125,3215.6754385964914
Bad Kreuznach,3228.9332688588006,3382.1624365482235,2877.0723270440253,3320.563025210084,2348.4166666666665,2292.7413793103447,3252.784263959391,3535.4056603773583,2403.801886792453,3262.5710784313724,4838.892857142857,3294.609947643979
