parents_education_level,total_students,low,medium,high,very_high,Year,low_%,medium_%,high_%,very_high_%
Students,14545,1276,5993,4009,3267,2012,8.772774149192163,41.20316259883121,27.562736335510486,22.46132691646614
Students,50353,6026,17980,14353,11994,2016,11.96750938375072,35.707902210394614,28.50475641967708,23.819831986177586
